# postcard-test-vectors-version: 1
# postcard-version: 1.1.3
# upstream-tag: postcard/v1.1.3
# upstream-commit: 718aa6a6850456017c19eeff67303c633f875736
name	flavor	schema	value	bytes	source
upstream_unit	raw	unit	null		https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_bool_false	raw	bool	false	00	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_bool_true	raw	bool	true	01	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_u8_5	raw	u8	5	05	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_u16_42439	raw	u16	42439	c7 cb 02	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_u32_3450549266	raw	u32	3450549266	92 e8 ac ed 0c	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_u64_1311768467294899695	raw	u64	1311768467294899695	ef 9b af 85 89 cf 95 9a 12	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_i16_max	raw	i16	32767	fe ff 03	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_i16_min	raw	i16	-32768	ff ff 03	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_char_z	raw	char	"z"	01 7a	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_char_cent	raw	char	"¢"	02 c2 a2	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_char_gothic	raw	char	"𐍈"	04 f0 90 8d 88	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_char_pleading_face	raw	char	"🥺"	04 f0 9f a5 ba	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
